sample_num,pile_id1,pile_id2,collector,coll_num,country,latitude,longitude,phyllotaxy,petiole_maxlen,petiole_minlen,small_leaf_len,small_leaf_wid,large_leaf_len,large_leaf_wid,apex_len,apex_wid,fert_leaf_len,fert_leaf_wid,pedicel_len,hyp_len,hyp_wid,calyxlobe_len,calyxlobe_wid,andr_len,cortube_dors_len,cortube_vent_len,cortube_narrow_wid,corolla_curling,anth_tub_len,anth_tip_wid,exsertion_len,flower_len
13,B. crispiloba,B. crispiloba,Dodson,7433,Ecuador,0.26666,-79.13333,distichous,5,5,64,23,106,35,10,2,71,22,91,10.3,7.1,1.4,1,38.2,15.9,12.2,4,scroll,9.8,4.1,26.1,48.5
14,B. crispiloba,B. crispiloba,Ceron,10082,Ecuador,0.05,-79.11666,distichous,7,5,90,23,115,35,16,2,90,23,87,11.5,6,0.8,0.9,46.8,22.2,17.3,3.4,scroll,12.2,3.4,29.4,58.3
15,B. crispiloba,B. crispiloba,van der Werff,10767,Ecuador,0.91667,-78.10667,distichous,5,4,60,21,84,24,9,2,46,19,62,8.1,4.5,0.4,0.5,31.5,11.6,9.7,3.6,scroll,9.2,3.4,21.3,39.6
16,B. crispiloba,B. crispiloba,Dodson,12000,Ecuador,0.86667,-79.1,distichous,7,5,62,18,98,37,10,2,93,29,128,10,8,1.5,1.9,40.5,15.8,12.5,3.7,scroll,11.3,3.9,27.8,50.5
17,B. crispiloba,B. crispiloba,Luteyn,13363,Ecuador,0.0833,-79.0333,distichous,7,4.3,89,24.3,123.3,37.3,12,1.7,69,17.7,70.3,12.2,6.9,1.3,2,42.3,17.6,13.8,3.7,scroll,10.8,3.9,28.4,54.5
18,B. crispiloba,B. crispiloba,Dodson,14661,Ecuador,0.61806,-79.30139,distichous,5,4,80,20,92,32,9,2,92,32,88,11.5,6.1,1.1,2.6,35,16,11.9,3,scroll,9.3,3.5,22.5,46.5
19,B. crispiloba,B. crispiloba,Lojtnant,15174,Ecuador,-2.48333,-79.08333,distichous,6,4,78,28,90,32,9,3,70,26,92,5.6,5.6,1,2.2,29,16.2,12.2,2.7,none,7,3.6,16.1,34.6
20,B. crispiloba,B. crispiloba,Dodson,15196,Ecuador,0.01306,-78.83243,distichous,10,5,94,25,161,47,16,1,76,22,95,9.2,5.8,0.7,0.8,35.9,14.4,11.5,3,scroll,10.7,4.2,14.6,45.1
21,B. crispiloba,B. crispiloba,Dodson,15548,Ecuador,0.61666,-79.3,distichous,5.5,4,70,18,95,31.5,7.5,2,86.5,26.5,69,10.9,4.95,0.7,1.35,36.45,16.5,10.9,3.2,scroll,9.95,3.7,24.65,47.35
22,B. crispiloba,B. crispiloba,Harling,23062,Ecuador,0.31284,-78.93241,distichous,8,5,75,25,123,39,13,1,123,39,112,10.9,7.8,1.1,1.7,37.6,17.9,11.1,4.3,scroll,10.7,5.1,20.7,48.5
23,B. crispiloba,B. crispiloba,Jaramillo,30276,Ecuador,-3.0881,-79.6697,distichous,6,5,68,27,85,29,7,2,68,27,80,6.5,5.1,1,1.4,28,17.7,14,3.7,none,6.3,3.3,13.9,34.5
24,B. crispiloba,Intermediate,Muchhala,115,Ecuador,-0.4167,-78.9833,distichous,10,7,145,65,147,67,9,2,92,52,123,11.7,6.5,1,1.3,33.1,12.5,9.1,2.8,scroll,10.2,4,24,44.8
25,B. crispiloba,Intermediate,Nowicki,1498,Ecuador,-0.4167,-79,distichous,7,5,95,52,117,58,10,2,82,45,105,10.9,6.3,2.8,2.3,32.4,13.5,8.6,3.7,scroll,9.3,4.3,23.6,43.3
26,B. crispiloba,Intermediate,Vargas,5171,Ecuador,-3.64472,-79.76277,distichous,8,5,56,28.5,129.5,57.5,11,3,93,40,95.5,7.8,5.8,0.8,1.4,27.8,15.4,12.6,2.8,curl,6.6,3.9,15.3,35.6
27,B. crispiloba,Intermediate,Clark,7944,Ecuador,-3.6508,-79.74,distichous,5,5,108,53,122,58,10,2.5,115,46,142,11.2,8,1.6,1.5,38.2,19.1,15,2.8,curl,8.9,2.8,21.8,49.4
28,B. crispiloba,Intermediate,Neill,8654,Ecuador,0.16667,-78.58333,distichous,6,4,108,41,130,46,10,2,82,35,79,16,10,1.2,1.5,40.2,15.7,11.1,4,scroll,11.5,5,28.6,56.2
29,B. crispiloba,Intermediate,Neill,9800,Ecuador,0.16666,-78.66666,distichous,10,8,146,49,185,70,12,3,116,45,80,12.2,6.5,1,1.1,38.8,13.3,10.6,4.4,scroll,11.2,4.8,28.2,51
30,B. crispiloba,Intermediate,Dodson,12782,Ecuador,-0.86666,-79.1,distichous,7,5,147,58,147,58,9,2,110,49,121,9,6,2.1,1.9,32.7,11.8,9.5,2.8,scroll,9,4,24,41.7
31,B. crispiloba,Intermediate,Luteyn,13333,Ecuador,0.06667,-78.73333,distichous,11,8,153,58,199,83,7,2,122,61,102,11,6.1,2,1.9,40.5,17,12,3,scroll,11.4,5,25.8,51.5
